180518/0515/095;Поставка химических материалов;"Акционерное общество ""Научно-исследовательский институт технической физики и автоматизации""";178 812,11;06.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180515095
180518/0451/142;Право заключения договора на предоставление права использования специализированного программного обеспечения для моделирования и анализа рисков, а также влияния  планов реагирования на стоимость и сроки реализации инвестиционных проектов на условиях простой (неисключительной) лицензии и поставка подписки на обновления специализированного программного обеспечения;"Государственная корпорация по атомной энергии ""Росатом""";1 027 520,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180451142
180518/0494/101;Право заключения договора на Поставка средств индивидуальной защиты для отделения Сайда-Губа СЗЦ «СевРАО» - филиала ФГУП «РосРАО»;"Федеральное государственное унитарное предприятие ""Предприятие по обращению с радиоактивными отходами ""РосРАО""";8 586 212,50;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180494101
180518/0550/085;Поставка металлоизделий;"Акционерное общество ""Атомэнергоремонт""";664 483,37;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180550085
180518/0536/769;"Право заключения договора на поставку товара по лоту 
№12375/796 БЛР2-18 «Поставка щитового оборудования зданий 21UQC,22UQC, основных и вспомогательных зданий и  сооружений системы физической защиты АЭС для сооружения энергоблока №2 Белорусской АЭС».";"Акционерное общество Инжиниринговая компания ""АСЭ""";23 904 535,67;19.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536769
180518/0536/768;Право заключения договора на поставку товара по лоту №12375/786 Куд3/П-18 «Поставка талей электрических специальных здания UKS для сооружения энергоблока №3  АЭС Куданкулам»;"Акционерное общество Инжиниринговая компания ""АСЭ""";1 835 510,84;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536768
180511/0513/719;Поставка растворителей, лакокрасочной продукции, герметиков;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";563 000,42;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805110513719
180518/0458/087;Право заключения договора на поставку наглядных пособий и знаков безопсаности;"Акционерное общество ""Государственный научный центр Российской Федерации - Физико-энергетический институт имени А.И. Лейпунского""";134 492,57;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180458087
180518/0513/718;Поставка отсечной трубопроводной арматуры Ду10;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";567 978,84;28.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180513718
180518/0513/717;Поставка низковольтной аппаратуры;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";555 914,90;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180513717
180518/0536/767;Право заключения договора на поставку товара по лоту №12394/120 НВ2-2/П-18 «Поставка датчиков по типу ТЖИУ для сооружения энергоблока №2 Нововоронежской АЭС-2»;"Акционерное общество Инжиниринговая компания ""АСЭ""";580 779,78;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536767
180518/0653/015;Право заключения договора на Лот № 012/05/2018 «Поставка металлопроката  в ассортименте для выполнения строительно-монтажных работ на объектах энергоблоков № 1,2  Курской АЭС-2»;"Общество с ограниченной ответственностью ""Строительно-монтажное управление № 1""";6 166 928,67;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180653015
180517/0513/716;Поставка автошин;"Акционерное общество ""Российский концерн по производству электрической и тепловой энергии на атомных станциях""";225 549,99;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805170513716
180518/3595/069;поставка комплекта для сборки гидравлического пресса для проведения соревнований по компетенции «Ремонт механического оборудования»в рамках III отраслевого чемпионата Госкорпорации Росатом по методике WorldSkills – AtomSkills 2018;"Автономная некоммерческая организация ""Корпоративная Академия Госкорпорации ""Росатом""";973 500,00;30.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805183595069
180518/0534/255;Право заключения договора на Поставка телефонно-микрофонных гарнитур для нужд Московского филиала «Центратомтехэнерго» АО «Атомтехэнерго»;"Акционерное общество по наладке, совершенствованию эксплуатации и организации управления атомных станций ""Атомтехэнерго""";470 563,53;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180534255
180518/1662/096;Право заключения договора на Поставка рулонных штор;"Общество с ограниченной ответственностью ""Белоярская АЭС - Авто""";350 765,99;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181662096
180518/0536/765;Право заключения договора на поставку товара по лоту №12375/301 Куд3,4/П-18 «Поставка клапанов избыточного давления для сооружения энергоблоков № 3 и № 4 АЭС Куданкулам»;"Акционерное общество Инжиниринговая компания ""АСЭ""";52 227 075,58;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180536765
180518/0467/494;Право заключения договора на Поставка колбасных изделий и мясокопченностей в ассортименте согласно ТЗ;"Федеральное государственное унитарное предприятие ""Российский федеральный ядерный центр - Всероссийский научно-исследовательский институт экспериментальной физики""";3 316 060,90;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180467494
180518/0510/036;Право заключения договора на Поставка карбонатов редко - земельных элементов;"Акционерное общество ""Ведущий научно-исследовательский институт химической технологии""";1 833 779,00;31.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180510036
180518/0642/220;Право заключения договора на Поставка оборудования технологического для объекта общественного питания;"Филиал АО ""Концерн Росэнергоатом"" ""Кольская атомная станция""";2 274 608,08;01.06.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180642220
180510/0502/209;Поставка периодических изданий;"Акционерное общество ""Центральное конструкторское бюро машиностроения""";172 457,30;29.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805100502209
180518/0643/059;Поставка трубопроводной арматуры из материала ХПВХ;"Общество с ограниченной ответственностью ""Аргон""";164 400,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805180643059
180518/4465/240;"Право заключения договора на металлопрокат. Поставка черного металла проката (для нужд Филиала АО ""ОТЭК"" в г. Новоуральске)";"Открытое акционерное общество ""Объединённая теплоэнергетическая компания""";439 382,42;25.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805184465240
180518/1201/014;Поставка источников ионизирующих излучений;"Акционерное общество ""Изотоп""";30 090 000,00;24.05.2018;Опубликована;http://www.zakupki.rosatom.ru/1805181201014
